row_id,service_year,county_code,county_name,payer,age_group_code,age_group_name,sex,unique_member_cnt,svc_code,svc_code_type,svc_code_desc,svc_code_ctg,svc_code_ctg_desc,clm_cnt,member_months,total_paid_amt_sum,total_paid_amt_mean,total_paid_amt_med,insurer_paid_amt_sum,insurer_paid_amt_mean,insurer_paid_amt_med,member_paid_amt_sum,member_paid_amt_mean,member_paid_amt_med
18966371,2019,1,Aitkin,COMMERCIAL,3,45 - 64 years,F,18,87077,CPT/HCPCS,CULTURE AEROBIC IDENTIFY,206,"Microscopic examination (e.g., lab, toxicology)",21,214,"$1,199.78 ",$66.65 ,$67.27 ,$598.92 ,$33.27 ,$31.15 ,$600.86 ,$33.38 ,$2.93 
18970931,2019,1,Aitkin,MINNESOTA HEALTH CARE PROGRAMS,1,18 years and under,M,24,87807,CPT/HCPCS,RSV ASSAY W/OPTIC,206,"Microscopic examination (e.g., lab, toxicology)",29,282,$490.23 ,$20.42 ,$11.75 ,$490.23 ,$20.42 ,$11.75 ,$0.00 ,$0.00 ,$0.00 
18973835,2019,1,Aitkin,MINNESOTA HEALTH CARE PROGRAMS,2,19 - 44 years,M,20,V2784,CPT/HCPCS,LENS POLYCARBATE/EQUL ANY INDX-LENS,241,Visual aids and other optical supplies,22,221,$531.92 ,$26.59 ,$13.50 ,$531.92 ,$26.59 ,$13.50 ,$0.00 ,$0.00 ,$0.00 
18981035,2019,1,Aitkin,MEDICARE,3,45 - 64 years,F,19,99223,CPT/HCPCS,INITIAL HOSPITAL CARE,302,Hospital inpatient services,62,204,"$10,994.07 ",$578.63 ,$212.12 ,"$9,097.89 ",$478.83 ,$212.12 ,"$1,896.18 ",$99.79 ,$39.92 
18984467,2019,1,Aitkin,MEDICARE,4,65 - 74 years,F,27,96366,CPT/HCPCS,THER/PROPH/DIAG IV INF ADDON,231,Therapeutic procedures - Other,50,320,"$1,316.82 ",$48.77 ,$0.00 ,"$1,287.72 ",$47.69 ,$0.00 ,$29.10 ,$1.07 ,$0.00 
18987275,2019,1,Aitkin,MEDICARE,4,65 - 74 years,M,16,J2543,CPT/HCPCS,INJ PIP SOD/TZ SOD 1 G/0.125 G,240,"Medications (injections, infusions, other forms)",34,186,$336.78 ,$21.04 ,$9.22 ,$325.07 ,$20.31 ,$6.02 ,$11.71 ,$0.73 ,$0.00 
18990035,2019,1,Aitkin,MEDICARE,5,75 years and older,M,32,352,REV,CT Scan/Body,50012,CT scans,39,338,"$3,029.20 ",$94.66 ,$0.00 ,"$2,929.20 ",$91.53 ,$0.00 ,$100.00 ,$3.12 ,$0.00 
18992675,2019,3,Anoka,COMMERCIAL,1,18 years and under,F,17,41899,CPT/HCPCS,DENTAL SURGERY PROCEDURE,29,Oral and dental services,17,203,"$20,409.27 ","$1,200.54 ",$42.77 ,"$16,405.55 ",$965.03 ,$25.66 ,"$4,003.72 ",$235.51 ,$0.00 
18994691,2019,3,Anoka,COMMERCIAL,1,18 years and under,M,16,483,REV,Echocardiology,50017,Cardiology services,26,144,"$35,368.78 ","$2,210.54 ",$0.00 ,"$35,368.78 ","$2,210.54 ",$0.00 ,$0.00 ,$0.00 ,$0.00 
18997979,2019,3,Anoka,COMMERCIAL,2,19 - 44 years,F,35,58611,CPT/HCPCS,LIGATE OVIDUCT(S) ADD-ON,121,Fallopian tubes - Ligation,39,410,"$6,659.35 ",$190.26 ,$186.06 ,"$6,124.53 ",$174.98 ,$181.34 ,$534.82 ,$15.28 ,$0.00 
18999251,2019,3,Anoka,COMMERCIAL,2,19 - 44 years,F,76,88302,CPT/HCPCS,TISSUE EXAM BY PATHOLOGIST,234,Pathology,121,895,"$2,122.69 ",$27.93 ,$21.78 ,"$1,892.14 ",$24.89 ,$18.83 ,$230.55 ,$3.03 ,$0.00 
19001003,2019,3,Anoka,COMMERCIAL,2,19 - 44 years,M,360,710,REV,Recovery Room,50006,Operating room services,412,"4,134","$194,113.03 ",$539.20 ,$0.00 ,"$189,166.97 ",$525.46 ,$0.00 ,"$4,946.06 ",$13.73 ,$0.00 
19003547,2019,3,Anoka,COMMERCIAL,2,19 - 44 years,M,16,C8929,CPT/HCPCS,TTE CMPL SPC & COLR FLOW DPPLR ECHO,193,Ultrasound - Heart (echocardiogram) - Diagnostic,16,192,"$13,118.09 ",$819.88 ,$981.79 ,"$8,374.88 ",$523.43 ,$483.69 ,"$4,743.21 ",$296.45 ,$0.00 
19006331,2019,3,Anoka,COMMERCIAL,3,45 - 64 years,F,22,82088,CPT/HCPCS,ASSAY OF ALDOSTERONE,233,Laboratory - Chemistry and hematology,23,255,"$1,583.82 ",$71.99 ,$65.40 ,"$1,327.44 ",$60.33 ,$65.40 ,$256.38 ,$11.65 ,$0.00 
19007843,2019,3,Anoka,COMMERCIAL,3,45 - 64 years,F,43,E0118,CPT/HCPCS,CRUTCH SUBSTITUTE LW LEG PLATFORM,243,DME and supplies,81,516,"$6,692.87 ",$155.64 ,$144.00 ,"$5,230.76 ",$121.64 ,$110.00 ,"$1,462.11 ",$34.00 ,$0.00 
19010819,2019,3,Anoka,COMMERCIAL,3,45 - 64 years,M,132,83605,CPT/HCPCS,ASSAY OF LACTIC ACID,233,Laboratory - Chemistry and hematology,170,"1,520","$3,590.39 ",$27.19 ,$0.00 ,"$3,038.83 ",$23.02 ,$0.00 ,$551.56 ,$4.17 ,$0.00 
19011923,2019,3,Anoka,COMMERCIAL,3,45 - 64 years,M,34,A4565,CPT/HCPCS,SLINGS,243,DME and supplies,34,399,$232.48 ,$6.83 ,$7.12 ,$140.10 ,$4.12 ,$5.46 ,$92.38 ,$2.71 ,$0.00 
19015187,2019,3,Anoka,COMMERCIAL,4,65 - 74 years,M,14,460,REV,Pulmonary Func,50016,Respiratory and pulmonary services,14,168,"$1,724.56 ",$123.18 ,$0.00 ,"$1,724.56 ",$123.18 ,$0.00 ,$0.00 ,$0.00 ,$0.00 
19018499,2019,3,Anoka,COMMERCIAL,5,75 years and older,F,27,J7120,CPT/HCPCS,RINGERS LACTATE INFUSION TO 1000 CC,240,"Medications (injections, infusions, other forms)",34,318,$225.31 ,$8.34 ,$0.52 ,$225.31 ,$8.34 ,$0.52 ,$0.00 ,$0.00 ,$0.00 
19022147,2019,3,Anoka,MINNESOTA HEALTH CARE PROGRAMS,1,18 years and under,F,169,96131,CPT/HCPCS,PSYCL TST EVAL PHYS/QHP EA,218,"Psychological and psychiatric evaluation, therapy",182,"2,014","$44,219.30 ",$261.65 ,$248.82 ,"$44,219.30 ",$261.65 ,$248.82 ,$0.00 ,$0.00 ,$0.00 
19024091,2019,3,Anoka,MINNESOTA HEALTH CARE PROGRAMS,1,18 years and under,M,13,73564,CPT/HCPCS,X-RAY EXAM KNEE 4 OR MORE,226,Radiology - Diagnostic (other),19,148,$650.43 ,$50.03 ,$30.89 ,$650.43 ,$50.03 ,$30.89 ,$0.00 ,$0.00 ,$0.00 
19026035,2019,3,Anoka,MINNESOTA HEALTH CARE PROGRAMS,1,18 years and under,M,190,S9445,CPT/HCPCS,PT ED NOC NON-MD PROV IND SESSION,237,Ancillary services,191,"2,150","$11,525.60 ",$60.66 ,$80.00 ,"$11,525.60 ",$60.66 ,$80.00 ,$0.00 ,$0.00 ,$0.00 
19027907,2019,3,Anoka,MINNESOTA HEALTH CARE PROGRAMS,2,19 - 44 years,F,"3,214",81001,CPT/HCPCS,URINALYSIS AUTO W/SCOPE,206,"Microscopic examination (e.g., lab, toxicology)","5,443","34,794","$21,794.67 ",$6.78 ,$3.77 ,"$21,653.66 ",$6.73 ,$3.76 ,$141.01 ,$0.04 ,$0.00 
19029323,2019,3,Anoka,MINNESOTA HEALTH CARE PROGRAMS,2,19 - 44 years,F,17,A9277,CPT/HCPCS,TRANSMTR; EXT INTRSTL CONT GLU MON,243,DME and supplies,21,192,"$10,171.20 ",$598.30 ,$495.58 ,"$10,171.20 ",$598.30 ,$495.58 ,$0.00 ,$0.00 ,$0.00 
19031507,2019,3,Anoka,MINNESOTA HEALTH CARE PROGRAMS,2,19 - 44 years,M,178,71260,CPT/HCPCS,CT THORAX DX C+,178,CT scan - Chest,314,"1,818","$34,159.91 ",$191.90 ,$127.72 ,"$33,881.71 ",$190.34 ,$126.84 ,$278.20 ,$1.56 ,$0.00 
19033115,2019,3,Anoka,MINNESOTA HEALTH CARE PROGRAMS,2,19 - 44 years,M,38,C1713,CPT/HCPCS,ANCHR/SCREW OPPOS BN-BN/SFT TISS-BN,243,DME and supplies,40,390,"$9,293.77 ",$244.57 ,$0.00 ,"$9,293.77 ",$244.57 ,$0.00 ,$0.00 ,$0.00 ,$0.00 
19035899,2019,3,Anoka,MINNESOTA HEALTH CARE PROGRAMS,3,45 - 64 years,F,11,82360,CPT/HCPCS,CALCULUS ASSAY QUANT,233,Laboratory - Chemistry and hematology,12,127,$86.36 ,$7.85 ,$0.00 ,$86.36 ,$7.85 ,$0.00 ,$0.00 ,$0.00 ,$0.00 
19037723,2019,3,Anoka,MINNESOTA HEALTH CARE PROGRAMS,3,45 - 64 years,F,17,J1270,CPT/HCPCS,INJECTION DOXERCALCIFEROL 1 MCG,240,"Medications (injections, infusions, other forms)","1,144",190,$45.78 ,$2.69 ,$0.00 ,$45.78 ,$2.69 ,$0.00 ,$0.00 ,$0.00 ,$0.00 
19040507,2019,3,Anoka,MINNESOTA HEALTH CARE PROGRAMS,3,45 - 64 years,M,25,90734,CPT/HCPCS,MENACWYD/MENACWYCRM VACC IM,228,Prophylactic vaccinations and inoculations,25,284,"$2,194.47 ",$87.77 ,$109.78 ,"$2,194.47 ",$87.77 ,$109.78 ,$0.00 ,$0.00 ,$0.00 
19042091,2019,3,Anoka,MINNESOTA HEALTH CARE PROGRAMS,3,45 - 64 years,M,27,Q0092,CPT/HCPCS,SET-UP PORTABLE X-RAY EQUIPMENT,226,Radiology - Diagnostic (other),43,313,$288.22 ,$10.67 ,$0.00 ,$288.22 ,$10.67 ,$0.00 ,$0.00 ,$0.00 ,$0.00 
19044419,2019,3,Anoka,MINNESOTA HEALTH CARE PROGRAMS,4,65 - 74 years,M,87,80061,CPT/HCPCS,LIPID PANEL,235,Laboratory - Other,103,975,$830.11 ,$9.54 ,$0.00 ,$830.11 ,$9.54 ,$0.00 ,$0.00 ,$0.00 ,$0.00 
19048739,2019,3,Anoka,MEDICARE,2,19 - 44 years,F,35,74018,CPT/HCPCS,X-RAY EXAM ABDOMEN 1 VIEW,226,Radiology - Diagnostic (other),82,415,$838.03 ,$23.94 ,$26.80 ,$615.49 ,$17.58 ,$14.64 ,$222.54 ,$6.35 ,$5.43 
19052459,2019,3,Anoka,MEDICARE,3,45 - 64 years,F,67,350,REV,CT Scan,50012,CT scans,107,715,"$1,163.52 ",$17.36 ,$0.00 ,"$1,163.52 ",$17.36 ,$0.00 ,$0.00 ,$0.00 ,$0.00 
19054931,2019,3,Anoka,MEDICARE,3,45 - 64 years,F,193,94640,CPT/HCPCS,AIRWAY INHALATION TREATMENT,217,Respiratory therapy - Other,303,"2,266","$1,334.36 ",$6.91 ,$0.00 ,"$1,088.69 ",$5.64 ,$0.00 ,$245.67 ,$1.27 ,$0.00 
19057763,2019,3,Anoka,MEDICARE,3,45 - 64 years,M,16,64495,CPT/HCPCS,INJ PARAVERT F JNT L/S 3 LEV,8,Nervous system procedures - Therapeutic (other),36,187,"$2,823.33 ",$176.45 ,$207.81 ,"$2,361.82 ",$147.61 ,$166.12 ,$461.51 ,$28.84 ,$23.73 
19059083,2019,3,Anoka,MEDICARE,3,45 - 64 years,M,188,97530,CPT/HCPCS,THERAPEUTIC ACTIVITIES,213,Physical/occupational/speech therapy - Exercises,"1,286","2,213","$29,762.56 ",$158.31 ,$39.88 ,"$22,930.27 ",$121.96 ,$31.76 ,"$6,832.29 ",$36.34 ,$5.66 
19061099,2019,3,Anoka,MEDICARE,4,65 - 74 years,F,148,20611,CPT/HCPCS,DRAIN/INJ JOINT/BURSA W/US,155,Arthrocentesis,277,"1,769","$28,857.35 ",$194.98 ,$96.74 ,"$24,438.62 ",$165.12 ,$91.13 ,"$4,418.73 ",$29.85 ,$18.23 
19063139,2019,3,Anoka,MEDICARE,4,65 - 74 years,F,15,84590,CPT/HCPCS,ASSAY OF VITAMIN A,233,Laboratory - Chemistry and hematology,16,180,$114.34 ,$7.62 ,$12.64 ,$114.34 ,$7.62 ,$12.64 ,$0.00 ,$0.00 ,$0.00 
19064459,2019,3,Anoka,MEDICARE,4,65 - 74 years,F,276,C1894,CPT/HCPCS,INTRDUCR/SHEATH NOT GUID NON-LASR,243,DME and supplies,303,"3,271",$20.02 ,$0.07 ,$0.00 ,$20.02 ,$0.07 ,$0.00 ,$0.00 ,$0.00 ,$0.00 
19067651,2019,3,Anoka,MEDICARE,4,65 - 74 years,M,33,73060,CPT/HCPCS,X-RAY EXAM OF HUMERUS,226,Radiology - Diagnostic (other),70,387,"$1,390.64 ",$42.14 ,$28.98 ,"$1,118.88 ",$33.90 ,$8.28 ,$271.76 ,$8.23 ,$1.69 
19069043,2019,3,Anoka,MEDICARE,4,65 - 74 years,M,55,97035,CPT/HCPCS,ULTRASOUND THERAPY,213,Physical/occupational/speech therapy - Exercises,174,660,"$4,187.33 ",$76.13 ,$21.26 ,"$3,163.75 ",$57.52 ,$12.29 ,"$1,023.58 ",$18.61 ,$2.16 
19070651,2019,3,Anoka,MEDICARE,4,65 - 74 years,M,12,T4528,CPT/HCPCS,ADLT SZD DISPBL INCONT UNDWEAR X-LG,243,DME and supplies,98,144,"$9,657.60 ",$804.80 ,$733.92 ,"$9,657.60 ",$804.80 ,$733.92 ,$0.00 ,$0.00 ,$0.00 
19073003,2019,3,Anoka,MEDICARE,5,75 years and older,F,15,80186,CPT/HCPCS,ASSAY OF PHENYTOIN FREE,235,Laboratory - Other,31,165,$336.19 ,$22.41 ,$14.98 ,$328.55 ,$21.90 ,$14.98 ,$7.64 ,$0.50 ,$0.00 
19074107,2019,3,Anoka,MEDICARE,5,75 years and older,F,"1,748",99223,CPT/HCPCS,INITIAL HOSPITAL CARE,302,Hospital inpatient services,"3,560","19,439","$693,836.55 ",$396.93 ,$215.95 ,"$624,964.06 ",$357.53 ,$215.17 ,"$68,872.49 ",$39.40 ,$0.00 
19075643,2019,3,Anoka,MEDICARE,5,75 years and older,F,100,Q0513,CPT/HCPCS,PHRM DISPNS FEE INHAL RX;-30 DAYS,240,"Medications (injections, infusions, other forms)",367,"1,156","$10,965.33 ",$109.65 ,$64.94 ,"$8,356.79 ",$83.56 ,$51.74 ,"$2,608.54 ",$26.08 ,$13.20 
19078283,2019,3,Anoka,MEDICARE,5,75 years and older,M,89,85046,CPT/HCPCS,RETICYTE/HGB CONCENTRATE,233,Laboratory - Chemistry and hematology,182,"1,038",$968.96 ,$10.88 ,$6.07 ,$968.96 ,$10.88 ,$6.07 ,$0.00 ,$0.00 ,$0.00 
19079483,2019,3,Anoka,MEDICARE,5,75 years and older,M,14,C1766,CPT/HCPCS,INTRDUCR/SHEATH EP NOT PEEL-AWAY,243,DME and supplies,14,168,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 
19081211,2019,5,Becker,COMMERCIAL,1,18 years and under,F,19,98940,CPT/HCPCS,CHIROPRACT MANJ 1-2 REGIONS,163,Musculoskeletal procedures - Therapeutic (other),42,212,"$1,095.87 ",$57.67 ,$45.84 ,$166.06 ,$8.74 ,$0.00 ,$929.81 ,$48.93 ,$30.64 
19085003,2019,5,Becker,COMMERCIAL,3,45 - 64 years,F,15,69209,CPT/HCPCS,REMOVE IMPACTED EAR WAX UNI,26,Ear procedures - Therapeutic,15,177,$389.79 ,$25.98 ,$27.22 ,$141.92 ,$9.46 ,$0.00 ,$247.87 ,$16.52 ,$20.70 
19086419,2019,5,Becker,COMMERCIAL,3,45 - 64 years,M,14,350,REV,CT Scan,50012,CT scans,16,137,"$26,211.27 ","$1,872.23 ",$20.98 ,"$22,187.21 ","$1,584.80 ",$20.98 ,"$4,024.06 ",$287.43 ,$0.00 
19091843,2019,5,Becker,MINNESOTA HEALTH CARE PROGRAMS,1,18 years and under,M,72,84443,CPT/HCPCS,ASSAY THYROID STIM HORMONE,233,Laboratory - Chemistry and hematology,81,836,"$1,123.77 ",$15.60 ,$0.00 ,"$1,123.77 ",$15.60 ,$0.00 ,$0.00 ,$0.00 ,$0.00 
19093739,2019,5,Becker,MINNESOTA HEALTH CARE PROGRAMS,2,19 - 44 years,F,40,88304,CPT/HCPCS,TISSUE EXAM BY PATHOLOGIST,234,Pathology,74,461,"$3,204.14 ",$80.10 ,$17.71 ,"$3,200.94 ",$80.02 ,$17.71 ,$3.20 ,$0.08 ,$0.00 
19097075,2019,5,Becker,MINNESOTA HEALTH CARE PROGRAMS,3,45 - 64 years,F,42,87389,CPT/HCPCS,HIV-1 AG W/HIV-1 & HIV-2 AB,206,"Microscopic examination (e.g., lab, toxicology)",42,478,$922.28 ,$21.95 ,$27.55 ,$922.28 ,$21.95 ,$27.55 ,$0.00 ,$0.00 ,$0.00 
19099115,2019,5,Becker,MINNESOTA HEALTH CARE PROGRAMS,3,45 - 64 years,M,17,90832,CPT/HCPCS,PSYTX W PT 30 MINUTES,218,"Psychological and psychiatric evaluation, therapy",37,204,"$5,990.58 ",$352.38 ,$134.63 ,"$5,990.58 ",$352.38 ,$134.63 ,$0.00 ,$0.00 ,$0.00 
19104851,2019,5,Becker,MEDICARE,3,45 - 64 years,F,20,84156,CPT/HCPCS,ASSAY OF PROTEIN URINE,233,Laboratory - Chemistry and hematology,33,237,$51.87 ,$2.59 ,$0.00 ,$51.87 ,$2.59 ,$0.00 ,$0.00 ,$0.00 ,$0.00 
19107971,2019,5,Becker,MEDICARE,4,65 - 74 years,F,23,391,REV,Blood/Admin,50010,Blood and blood components,28,274,$607.40 ,$26.40 ,$0.00 ,$607.40 ,$26.40 ,$0.00 ,$0.00 ,$0.00 ,$0.00 
19110299,2019,5,Becker,MEDICARE,4,65 - 74 years,F,11,J2469,CPT/HCPCS,INJECTION PALONOSETRON HCL 25 MCG,240,"Medications (injections, infusions, other forms)",66,132,"$1,642.69 ",$149.33 ,$57.65 ,"$1,437.92 ",$130.72 ,$45.93 ,$204.77 ,$18.61 ,$0.00 
19112843,2019,5,Becker,MEDICARE,4,65 - 74 years,M,27,G0152,CPT/HCPCS,SRVC OT HOM HLTH/HOSPICE EA 15 MIN,236,"Non-hospital-based care (home health, hospice)",102,316,"$3,216.78 ",$119.14 ,$0.00 ,"$3,216.78 ",$119.14 ,$0.00 ,$0.00 ,$0.00 ,$0.00 
19115339,2019,5,Becker,MEDICARE,5,75 years and older,F,16,A7033,CPT/HCPCS,PILLW NASL CANNULA TYPE INTF REPL,243,DME and supplies,34,192,"$2,996.39 ",$187.27 ,$133.02 ,"$2,396.76 ",$149.79 ,$105.98 ,$599.63 ,$37.47 ,$27.04 
19118171,2019,5,Becker,MEDICARE,5,75 years and older,M,13,E1392,CPT/HCPCS,PORTABLE OXYGEN CONCENTRATOR RENTAL,243,DME and supplies,87,146,"$3,600.40 ",$276.95 ,$261.66 ,"$2,878.43 ",$221.41 ,$192.00 ,$721.97 ,$55.53 ,$53.16 
19123307,2019,7,Beltrami,COMMERCIAL,3,45 - 64 years,F,50,85652,CPT/HCPCS,RBC SED RATE AUTOMATED,233,Laboratory - Chemistry and hematology,67,597,"$1,861.05 ",$37.22 ,$27.58 ,"$1,008.08 ",$20.16 ,$8.19 ,$852.97 ,$17.05 ,$3.91 
19127843,2019,7,Beltrami,MINNESOTA HEALTH CARE PROGRAMS,1,18 years and under,F,104,97110,CPT/HCPCS,THERAPEUTIC EXERCISES,213,Physical/occupational/speech therapy - Exercises,685,"1,185","$32,084.29 ",$308.50 ,$113.11 ,"$32,084.29 ",$308.50 ,$113.11 ,$0.00 ,$0.00 ,$0.00 
19129955,2019,7,Beltrami,MINNESOTA HEALTH CARE PROGRAMS,1,18 years and under,M,16,V5008,CPT/HCPCS,HEARING SCREENING,220,Ophthalmologic/otologic diagnosis and treatment,16,178,$87.36 ,$5.46 ,$7.28 ,$87.36 ,$5.46 ,$7.28 ,$0.00 ,$0.00 ,$0.00 
19131971,2019,7,Beltrami,MINNESOTA HEALTH CARE PROGRAMS,2,19 - 44 years,F,144,H2035,CPT/HCPCS,ALCOHOL &OR OTH DRUG TX PROGM-HOUR,219,"Alcohol and drug management, treatment, and rehab.","2,538","1,601","$454,240.19 ","$3,154.44 ","$1,820.00 ","$454,240.19 ","$3,154.44 ","$1,820.00 ",$0.00 ,$0.00 ,$0.00 
19134299,2019,7,Beltrami,MINNESOTA HEALTH CARE PROGRAMS,2,19 - 44 years,M,16,V2105,CPT/HCPCS,1 VISN PLANO-+/-4.00D 4.25-6.00D EA,241,Visual aids and other optical supplies,20,170,$416.67 ,$26.04 ,$25.86 ,$416.67 ,$26.04 ,$25.86 ,$0.00 ,$0.00 ,$0.00 
19136435,2019,7,Beltrami,MINNESOTA HEALTH CARE PROGRAMS,3,45 - 64 years,F,44,J0696,CPT/HCPCS,INJ CEFTRIAXONE SODIUM PER 250 MG,240,"Medications (injections, infusions, other forms)",69,514,$646.34 ,$14.68 ,$0.00 ,$646.34 ,$14.68 ,$0.00 ,$0.00 ,$0.00 ,$0.00 
19140659,2019,7,Beltrami,MINNESOTA HEALTH CARE PROGRAMS,4,65 - 74 years,M,23,A9270,CPT/HCPCS,NONCOVERED ITEM OR SERVICE,243,DME and supplies,102,269,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 
19145891,2019,7,Beltrami,MEDICARE,3,45 - 64 years,F,15,87591,CPT/HCPCS,N.GONORRHOEAE DNA AMP PROB,206,"Microscopic examination (e.g., lab, toxicology)",21,180,$191.22 ,$12.74 ,$0.00 ,$191.22 ,$12.74 ,$0.00 ,$0.00 ,$0.00 ,$0.00 
19148651,2019,7,Beltrami,MEDICARE,3,45 - 64 years,M,56,J1885,CPT/HCPCS,INJ KETOROLAC TROMETHAMINE 15 MG,240,"Medications (injections, infusions, other forms)",113,652,$4.01 ,$0.07 ,$0.00 ,$3.64 ,$0.06 ,$0.00 ,$0.37 ,$0.00 ,$0.00 
19151267,2019,7,Beltrami,MEDICARE,4,65 - 74 years,F,16,G0155,CPT/HCPCS,SRVC CLINICAL SW HH/HOSPICE EA 15,236,"Non-hospital-based care (home health, hospice)",48,161,"$2,328.61 ",$145.53 ,$0.00 ,"$2,328.61 ",$145.53 ,$0.00 ,$0.00 ,$0.00 ,$0.00 
19153931,2019,7,Beltrami,MEDICARE,4,65 - 74 years,M,17,J1200,CPT/HCPCS,INJ DIPHENHYDRAMINE HCL TO 50 MG,240,"Medications (injections, infusions, other forms)",53,190,$6.79 ,$0.39 ,$0.00 ,$6.03 ,$0.35 ,$0.00 ,$0.76 ,$0.04 ,$0.00 
